"BETA RENOWABLE GROUP, S.A.",BETA PLATINUM,DESCUENTO EN LOS CARBURANTES SOBRE PRECIO EN POSTE,,5.000,C�ntimos de euro en cada litro,"Colectivos (taxis, flotas de veh�culos, etc.)"
"PETRONIEVES, S.L.",TARJETA PETRONIEVES,"TARJETA CONTADO, PREPAGO Y CREDITO CON DESCUENTO EN GASOLEOS Y GASOLINAS. DEPENDIENDO SU TARJETA ESCOGIDA EL DESCUENTO VARIARA.",31/12/2050,0.006,C�ntimos de euro en cada litro,Todos los consumidores
"BON PREU, SAU.",BON PREU- ESCLAT TARGETA CLIENT,DESCUENTO DE 3 CTS POR LITRO PARA LOS CLIENTES CON TARGETA CLIENT BON PREU-ESCLAT,,3.000,C�ntimos de euro en cada litro,Todos los consumidores
"BON PREU, SAU.",alegr�a targeta cliente -orangut�n,DESCUENTO DE 3 CTS POR LITRO PARA LOS CLIENTES CON TARjETA CLIENTe orangut�n-alegria,,3.000,C�ntimos de euro en cada litro,Todos los consumidores
"ADELFAS OIL, S.A",TARJETA CONFIANZA CONTADO,"CLIENTES CONTADO 0,01�/LITRO + 5%PRODUCTOS TIENDA + PUNTOS CANJEABLES EN PRODUCTOS TIENDA",,0.010,C�ntimos de euro en cada litro,Todos los consumidores
"ADELFAS OIL, S.A",ADELPYME CONTADO,"EMPRESAS, AUT�NOMOS Y PARTICULARES CONTADO (5% PRODUCTOS TIENDA + 10% LAVADOS + DTO. PERSONAL CADA CLIENTE)",,5.000,Porcentaje sobre el precio total,Todos los consumidores
"ADELFAS OIL, S.A",TARJETA PROFESIONAL,EMPRESAS O AUT�NOMOS DE GASOLEO PROFESIONAL CON DTO. PERSONAL DE CADA TRANSPORTISTA,,,,Transportistas profesionales
"ADELFAS OIL, S.A",ADELFAS G.BONIFICADO,EMPRESAS O AUT�NOMOS DE GASOLEO BONIFICADO CON DTO. PERSONAL DEL CLIENTE,,,,Agricultores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES ING,PROMOCION 3% DESCUENTO A CLIENTES ING. EN TODA LA RED,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES ING,PROMOCION 3% DESCUENTO A CLIENTES ING. EN TODA LA RED.,,3.000,Porcentaje sobre el precio total,Todos los consumidores
AGLA CARD S.L.,TARJETA AGLA CARD DE CREDITO,"DESCUENTO DE 0,02 CENTIMOS POR LITRO EN TODAS LAS ESTACIONES ADHERIDAS A ESTA TARJETA",,0.020,C�ntimos de euro en cada litro,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES CAJASIETE,PROMOCION 3% DESCUENTO A CLIENTES CAJASIETE. EN TODA LA RED,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS,PROMOCION 2% DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS. EN TODA LA RED.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES CAJASIETE.,PROMOCION 3% DESCUENTO A CLIENTES CAJASIETE. EN TODA LA RED.,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS,PROMOCION 2% DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS. EN TODA LA RED.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERG�A ESPA�A S.A.,EVO BANCO,"Ahorra un 2% con cada compra de carburante y tienda, sin l�mite de compra con las tarjetas de cr�dito y d�bito de EVO BANCO",,2.000,Porcentaje sobre el precio total,Todos los consumidores
"KUWAIT PETROLEUM ESPA�A, S.A.",TARJETISIMA,PROGRAMA DE FIDELIZACION,,1.000,C�ntimos de euro en cada litro,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Repsol M�s,Todos los clientes que presenten su tarjeta de fidelizaci�n Repsol M�s acumular�n puntos Travel Club.,,0.000,C�ntimos de euro en cada litro,Todos los consumidores
GALP ENERG�A ESPA�A S.A.,TWYP,Ahorra un 4% con cada compra de carburante utilizando la Aplicaci�n TWYP�de ING.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERG�A ESPA�A S.A.,LIDL,Ahorra un 4% en cada compra de carburante por hacer tus compras en LIDL,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERG�A ESPA�A S.A.,AHORRING,Dedicado a todo tipo de clientes que consuman carburante,,3.000,C�ntimos de euro en cada litro,Todos los consumidores
"ADELFAS OIL, S.A",CONFIANZA ELECTRICIDAD,CLIENTES CON DESCUENTO FIJO + 5% TIENDA + PUNTOS CANJEABLES PRODUCTOS TIENDA,,0.020,C�ntimos de euro en cada litro,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",LIDL PLUS,PROMOCION 4% DESCUENTO A CLIENTES LIDL PLUS. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
